Rank, Pair, Score, 3day Pos, Week Pos, Month Pos, 3day %, Week %, Month %, Weightage (3d/w/m) = 1  1.5  2 , (c) Bwinners; 2021 @dryeap
 60 ,  MFT / USDT,   20.22 ,   29 ,   5 ,   0 ,   4.62 ,   15.6 ,  ,  
 61 ,  PERP / BUSD,   20 ,   0 ,   0 ,   49 ,  ,  ,   20 
 62 ,  TRU / BTC,   19.945 ,   11 ,   21 ,   0 ,   6.76 ,   13.185 ,  ,  
 63 ,  AXS / BRL,   19.355 ,   4 ,   50 ,   0 ,   10.19 ,   9.165 ,  ,  
 64 ,  GAS / BTC,   19.08 ,   0 ,   0 ,   54 ,  ,  ,   19.08 
 65 ,  C98 / BTC,   18.86 ,   0 ,   0 ,   55 ,  ,  ,   18.86 
 66 ,  BAKE / USDT,   18.8 ,   0 ,   0 ,   56 ,  ,  ,   18.8 
 67 ,  FET / BTC,   18.74 ,   0 ,   0 ,   57 ,  ,  ,   18.74 
 68 ,  ARDR / USDT,   18.64 ,   0 ,   0 ,   59 ,  ,  ,   18.64 
 69 ,  PSG / BTC,   18.035 ,   34 ,   17 ,   0 ,   4.31 ,   13.725 ,  ,  
 70 ,  JUV / USDT,   17.215 ,   14 ,   28 ,   0 ,   6.07 ,   11.145 ,  ,  
 71 ,  QUICK / BUSD,   17.09 ,   60 ,   19 ,   0 ,   3.38 ,   13.71 ,  ,  
 72 ,  TVK / USDT,   16.845 ,   0 ,   4 ,   0 ,  ,   16.845 ,  ,  
 73 ,  CLV / USDT,   16.325 ,   15 ,   35 ,   0 ,   6.02 ,   10.305 ,  ,  
 74 ,  REQ / BTC,   15.37 ,   1 ,   0 ,   0 ,   15.37 ,  ,  ,  
 75 ,  CLV / BUSD,   14.795 ,   18 ,   47 ,   0 ,   5.51 ,   9.285 ,  ,  
 76 ,  ICP / BUSD,   14.745 ,   59 ,   27 ,   0 ,   3.39 ,   11.355 ,  ,  
 77 ,  WIN / USDT,   14.71 ,   20 ,   44 ,   0 ,   5.32 ,   9.39 ,  ,  
 78 ,  QUICK / BTC,   14.61 ,   0 ,   9 ,   0 ,  ,   14.61 ,  ,  
 79 ,  TORN / BUSD,   14.16 ,   0 ,   12 ,   0 ,  ,   14.16 ,  ,  
 80 ,  WIN / BUSD,   13.67 ,   24 ,   55 ,   0 ,   4.94 ,   8.73 ,  ,  
 81 ,  BCD / BTC,   13.615 ,   31 ,   52 ,   0 ,   4.54 ,   9.075001 ,  ,  
 82 ,  UTK / USDT,   13.31 ,   22 ,   63 ,   0 ,   5.21 ,   8.1 ,  ,  
 83 ,  TORN / USDT,   13.305 ,   0 ,   20 ,   0 ,  ,   13.305 ,  ,  
 84 ,  KP3R / BUSD,   13.275 ,   30 ,   56 ,   0 ,   4.59 ,   8.684999 ,  ,  
 85 ,  XEC / BUSD,   12.97 ,   51 ,   49 ,   0 ,   3.73 ,   9.24 ,  ,  
 86 ,  BADGER / BUSD,   12.855 ,   0 ,   22 ,   0 ,  ,   12.855 ,  ,  
 87 ,  CTSI / USDT,   12.785 ,   55 ,   45 ,   0 ,   3.44 ,   9.345 ,  ,  
 88 ,  BADGER / BTC,   12.645 ,   0 ,   23 ,   0 ,  ,   12.645 ,  ,  
 89 ,  AST / BTC,   11.79 ,   0 ,   25 ,   0 ,  ,   11.79 ,  ,  
 90 ,  POLS / USDT,   11.115 ,   0 ,   29 ,   0 ,  ,   11.115 ,  ,  
 91 ,  MINA / USDT,   10.65 ,   0 ,   31 ,   0 ,  ,   10.65 ,  ,  
 92 ,  RUNE / USDT,   9.915 ,   0 ,   36 ,   0 ,  ,   9.915 ,  ,  
 93 ,  ATM / BTC,   9.555 ,   0 ,   41 ,   0 ,  ,   9.555 ,  ,  
 94 ,  ATM / BTC,   9.555 ,   0 ,   43 ,   0 ,  ,   9.555 ,  ,  
 95 ,  ORN / USDT,   9.27 ,   0 ,   48 ,   0 ,  ,   9.27 ,  ,  
 96 ,  SLP / USDT,   8.76 ,   0 ,   54 ,   0 ,  ,   8.76 ,  ,  
 97 ,  CTSI / BUSD,   8.625 ,   0 ,   57 ,   0 ,  ,   8.625 ,  ,  
 98 ,  OG / USDT,   8.52 ,   0 ,   59 ,   0 ,  ,   8.52 ,  ,  
 99 ,  MASK / BUSD,   8.265 ,   0 ,   62 ,   0 ,  ,   8.265 ,  ,  
 100 ,  UFT / ETH,   6.38 ,   13 ,   0 ,   0 ,   6.38 ,  ,  ,  
 101 ,  UTK / BTC,   4.92 ,   25 ,   0 ,   0 ,   4.92 ,  ,  ,  
 102 ,  DOCK / USDT,   4.79 ,   26 ,   0 ,   0 ,   4.79 ,  ,  ,  
 103 ,  HEGIC / ETH,   4.75 ,   27 ,   0 ,   0 ,   4.75 ,  ,  ,  
 104 ,  PROM / BUSD,   4.73 ,   28 ,   0 ,   0 ,   4.73 ,  ,  ,  
 105 ,  HOT / USDT,   4.52 ,   32 ,   0 ,   0 ,   4.52 ,  ,  ,  
 106 ,  CLV / BTC,   4.52 ,   33 ,   0 ,   0 ,   4.52 ,  ,  ,  
 107 ,  ATM / BUSD,   4.2 ,   36 ,   0 ,   0 ,   4.2 ,  ,  ,  
 108 ,  VTHO / USDT,   4.11 ,   38 ,   0 ,   0 ,   4.11 ,  ,  ,  
 109 ,  FARM / USDT,   4.07 ,   39 ,   0 ,   0 ,   4.07 ,  ,  ,  
 110 ,  LIT / USDT,   3.96 ,   43 ,   0 ,   0 ,   3.96 ,  ,  ,  
 111 ,  FARM / BUSD,   3.93 ,   44 ,   0 ,   0 ,   3.93 ,  ,  ,  
 112 ,  KEY / USDT,   3.8 ,   48 ,   0 ,   0 ,   3.8 ,  ,  ,  
 113 ,  RVN / BUSD,   3.77 ,   49 ,   0 ,   0 ,   3.77 ,  ,  ,  
 114 ,  DENT / USDT,   3.47 ,   54 ,   0 ,   0 ,   3.47 ,  ,  ,  
 115 ,  RLC / BTC,   3.41 ,   57 ,   0 ,   0 ,   3.41 ,  ,  ,  
 116 ,  REEF / USDT,   3.39 ,   58 ,   0 ,   0 ,   3.39 ,  ,  ,  
